# x,y,z,is_reachable
-0.483,-0.278,0.339,1.0
-0.526,-0.071,0.260,1.0
-0.432,0.068,0.368,1.0
-0.352,-0.483,0.264,1.0
-0.376,-0.339,0.474,1.0
-0.332,-0.107,0.043,1.0
-0.357,-0.032,0.018,1.0
-0.357,0.018,0.018,0.0
-0.382,0.074,0.268,1.0
-0.352,0.058,0.469,1.0
-0.232,0.043,0.068,1.0
-0.238,0.062,0.162,1.0
-0.268,0.266,0.063,1.0
-0.182,-0.582,0.143,1.0
-0.189,-0.488,0.024,1.0
-0.135,-0.496,0.469,1.0
-0.132,-0.232,0.318,1.0
-0.157,-0.282,0.668,0.0
-0.182,-0.157,0.668,1.0
-0.098,-0.378,0.519,1.0
-0.026,-0.138,0.436,0.0
-0.057,-0.032,0.568,1.0
0.083,-0.533,0.264,1.0
0.024,-0.213,0.450,1.0
0.118,-0.582,0.043,0.0
0.168,-0.582,0.143,1.0
0.133,-0.584,0.264,1.0
0.133,-0.378,0.570,1.0
0.118,-0.232,0.318,1.0
0.093,-0.132,0.418,1.0
0.143,-0.032,0.518,1.0
0.243,-0.582,0.118,0.0
0.218,-0.232,0.030,1.0
0.268,-0.282,0.518,1.0
